2024-09-13 07:35:53,140 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.14 | op=SEND_HEARTBEAT {datanodeUUID=b1fd9cea-de24-4133-b352-83781eb3fae5, command=[]} | ret=SUCCESS |  
2024-09-13 07:35:56,772 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=d6263ef2-12c4-4213-941c-f4bfdb664ceb, command=[]} | ret=SUCCESS |  
2024-09-13 07:35:58,858 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=ALLOCATE_BLOCK {owner=3e29bf10-bed1-4757-ad8d-713584888bb7, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-09-13 07:36:16,437 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=ALLOCATE_BLOCK {owner=3e29bf10-bed1-4757-ad8d-713584888bb7, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-09-13 07:36:17,331 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=68faf42b-35b5-4430-86ef-e82765b97228, command=[]} | ret=SUCCESS |  
2024-09-13 07:36:20,789 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=ALLOCATE_BLOCK {owner=3e29bf10-bed1-4757-ad8d-713584888bb7, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-09-13 07:36:23,159 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.14 | op=SEND_HEARTBEAT {datanodeUUID=b1fd9cea-de24-4133-b352-83781eb3fae5, command=[]} | ret=SUCCESS |  
2024-09-13 07:36:26,775 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=d6263ef2-12c4-4213-941c-f4bfdb664ceb, command=[]} | ret=SUCCESS |  
2024-09-13 07:36:47,346 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=68faf42b-35b5-4430-86ef-e82765b97228, command=[]} | ret=SUCCESS |  
2024-09-13 07:36:53,143 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.14 | op=SEND_HEARTBEAT {datanodeUUID=b1fd9cea-de24-4133-b352-83781eb3fae5, command=[]} | ret=SUCCESS |  
