2026-05-07 06:23:56,830 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {"datanodeUUID":"4e59e889-5f23-4251-a404-848e0a163f1c","term":"2","command":"[]"} | ret=SUCCESS |  
2026-05-07 06:23:57,930 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.106 | op=SEND_HEARTBEAT {"datanodeUUID":"29b3c624-8f75-4243-839b-255129568ede","term":"2","command":"[]"} | ret=SUCCESS |  
2026-05-07 06:23:58,920 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {"datanodeUUID":"1e522ea6-49da-42fb-be11-f1a68319d0b3","term":"2","command":"[]"} | ret=SUCCESS |  
2026-05-07 06:23:59,561 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {"datanodeUUID":"2bdc7b7a-f4b0-4d6c-841a-3125ac965806","term":"2","command":"[]"} | ret=SUCCESS |  
2026-05-07 06:23:59,780 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.105 | op=SEND_HEARTBEAT {"datanodeUUID":"174bbd8d-8696-4ceb-9c10-6dee3dc0bd78","term":"2","command":"[]"} | ret=SUCCESS |  
2026-05-07 06:24:01,830 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {"datanodeUUID":"4e59e889-5f23-4251-a404-848e0a163f1c","term":"2","command":"[]"} | ret=SUCCESS |  
2026-05-07 06:24:02,930 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.106 | op=SEND_HEARTBEAT {"datanodeUUID":"29b3c624-8f75-4243-839b-255129568ede","term":"2","command":"[]"} | ret=SUCCESS |  
2026-05-07 06:24:03,920 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {"datanodeUUID":"1e522ea6-49da-42fb-be11-f1a68319d0b3","term":"2","command":"[]"} | ret=SUCCESS |  
2026-05-07 06:24:04,561 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {"datanodeUUID":"2bdc7b7a-f4b0-4d6c-841a-3125ac965806","term":"2","command":"[]"} | ret=SUCCESS |  
2026-05-07 06:24:04,781 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.105 | op=SEND_HEARTBEAT {"datanodeUUID":"174bbd8d-8696-4ceb-9c10-6dee3dc0bd78","term":"2","command":"[]"} | ret=SUCCESS |  
2026-05-07 06:24:06,831 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {"datanodeUUID":"4e59e889-5f23-4251-a404-848e0a163f1c","term":"2","command":"[]"} | ret=SUCCESS |  
2026-05-07 06:24:07,930 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.106 | op=SEND_HEARTBEAT {"datanodeUUID":"29b3c624-8f75-4243-839b-255129568ede","term":"2","command":"[]"} | ret=SUCCESS |  
2026-05-07 06:24:08,918 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {"datanodeUUID":"1e522ea6-49da-42fb-be11-f1a68319d0b3","term":"2","command":"[]"} | ret=SUCCESS |  
2026-05-07 06:24:09,562 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {"datanodeUUID":"2bdc7b7a-f4b0-4d6c-841a-3125ac965806","term":"2","command":"[]"} | ret=SUCCESS |  
2026-05-07 06:24:09,780 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.105 | op=SEND_HEARTBEAT {"datanodeUUID":"174bbd8d-8696-4ceb-9c10-6dee3dc0bd78","term":"2","command":"[]"} | ret=SUCCESS |  
2026-05-07 06:24:11,832 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {"datanodeUUID":"4e59e889-5f23-4251-a404-848e0a163f1c","term":"2","command":"[]"} | ret=SUCCESS |  
2026-05-07 06:24:12,932 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.106 | op=SEND_HEARTBEAT {"datanodeUUID":"29b3c624-8f75-4243-839b-255129568ede","term":"2","command":"[]"} | ret=SUCCESS |  
2026-05-07 06:24:13,918 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {"datanodeUUID":"1e522ea6-49da-42fb-be11-f1a68319d0b3","term":"2","command":"[]"} | ret=SUCCESS |  
2026-05-07 06:24:14,560 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {"datanodeUUID":"2bdc7b7a-f4b0-4d6c-841a-3125ac965806","term":"2","command":"[]"} | ret=SUCCESS |  
2026-05-07 06:24:14,780 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.105 | op=SEND_HEARTBEAT {"datanodeUUID":"174bbd8d-8696-4ceb-9c10-6dee3dc0bd78","term":"2","command":"[]"} | ret=SUCCESS |  
