2023-11-02 02:52:30,871 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=38f03686-c8ae-4799-832e-ccee50fcf3c9, command=[]} | ret=SUCCESS |  
2023-11-02 02:52:34,717 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=110f3e26-39f7-4357-bddf-f7a773c45787, command=[]} | ret=SUCCESS |  
2023-11-02 02:52:34,883 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=110f3e26-39f7-4357-bddf-f7a773c45787, command=[]} | ret=SUCCESS |  
2023-11-02 02:52:35,215 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=5c5d18f2-183d-4430-bbdd-03cc0f350991, command=[]} | ret=SUCCESS |  
2023-11-02 02:52:35,889 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=38f03686-c8ae-4799-832e-ccee50fcf3c9, command=[]} | ret=SUCCESS |  
2023-11-02 02:52:39,350 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=ALLOCATE_BLOCK {owner=2a1c3a63-1333-4ba1-87c3-3cb754439c0d, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-11-02 02:52:41,300 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=110f3e26-39f7-4357-bddf-f7a773c45787, command=[]} | ret=SUCCESS |  
2023-11-02 02:52:41,625 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=5c5d18f2-183d-4430-bbdd-03cc0f350991, command=[]} | ret=SUCCESS |  
2023-11-02 02:52:41,681 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=38f03686-c8ae-4799-832e-ccee50fcf3c9, command=[]} | ret=SUCCESS |  
2023-11-02 02:52:49,408 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=ALLOCATE_BLOCK {owner=2a1c3a63-1333-4ba1-87c3-3cb754439c0d, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-11-02 02:52:51,377 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=110f3e26-39f7-4357-bddf-f7a773c45787, command=[]} | ret=SUCCESS |  
2023-11-02 02:52:59,942 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=ALLOCATE_BLOCK {owner=2a1c3a63-1333-4ba1-87c3-3cb754439c0d, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-11-02 02:53:11,631 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=5c5d18f2-183d-4430-bbdd-03cc0f350991, command=[]} | ret=SUCCESS |  
2023-11-02 02:53:11,679 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=38f03686-c8ae-4799-832e-ccee50fcf3c9, command=[]} | ret=SUCCESS |  
2023-11-02 02:53:21,379 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=110f3e26-39f7-4357-bddf-f7a773c45787, command=[]} | ret=SUCCESS |  
2023-11-02 02:53:26,291 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=ALLOCATE_BLOCK {owner=2a1c3a63-1333-4ba1-87c3-3cb754439c0d, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-11-02 02:53:32,763 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=ALLOCATE_BLOCK {owner=2a1c3a63-1333-4ba1-87c3-3cb754439c0d, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-11-02 02:53:41,630 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=5c5d18f2-183d-4430-bbdd-03cc0f350991, command=[]} | ret=SUCCESS |  
2023-11-02 02:53:41,681 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=38f03686-c8ae-4799-832e-ccee50fcf3c9, command=[]} | ret=SUCCESS |  
2023-11-02 02:53:51,384 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=110f3e26-39f7-4357-bddf-f7a773c45787, command=[]} | ret=SUCCESS |  
2023-11-02 02:54:11,641 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=5c5d18f2-183d-4430-bbdd-03cc0f350991, command=[]} | ret=SUCCESS |  
2023-11-02 02:54:11,681 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=38f03686-c8ae-4799-832e-ccee50fcf3c9, command=[]} | ret=SUCCESS |  
