2025-10-14 16:14:23,178 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95795","dataSize":"268435456","replicationType":"NONE","Transaction":"191591"} | ret=SUCCESS |  
2025-10-14 16:14:23,181 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95798","dataSize":"268435456","replicationType":"NONE","Transaction":"191592"} | ret=SUCCESS |  
2025-10-14 16:14:23,181 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2025-10-14 16:14:23,181 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95799","dataSize":"268435456","replicationType":"NONE","Transaction":"191593"} | ret=SUCCESS |  
2025-10-14 16:14:23,183 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95796","dataSize":"268435456","replicationType":"NONE","Transaction":"191594"} | ret=SUCCESS |  
2025-10-14 16:14:23,183 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95790","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"191595"} | ret=SUCCESS |  
2025-10-14 16:14:23,186 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95787","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"191596"} | ret=SUCCESS |  
2025-10-14 16:14:23,187 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95786","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"191597"} | ret=SUCCESS |  
2025-10-14 16:14:23,188 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95793","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"191598"} | ret=SUCCESS |  
2025-10-14 16:14:23,188 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95792","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"191599"} | ret=SUCCESS |  
2025-10-14 16:14:23,189 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2025-10-14 16:14:23,189 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95797","dataSize":"268435456","replicationType":"NONE","Transaction":"191600"} | ret=SUCCESS |  
2025-10-14 16:14:23,190 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95803","dataSize":"268435456","replicationType":"NONE","Transaction":"191601"} | ret=SUCCESS |  
2025-10-14 16:14:23,191 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95801","dataSize":"268435456","replicationType":"NONE","Transaction":"191602"} | ret=SUCCESS |  
2025-10-14 16:14:23,192 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95788","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"191603"} | ret=SUCCESS |  
2025-10-14 16:14:23,192 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2025-10-14 16:14:23,192 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95802","dataSize":"268435456","replicationType":"NONE","Transaction":"191604"} | ret=SUCCESS |  
2025-10-14 16:14:23,197 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95800","dataSize":"268435456","replicationType":"NONE","Transaction":"191605"} | ret=SUCCESS |  
2025-10-14 16:14:23,197 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2025-10-14 16:14:23,199 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2025-10-14 16:14:23,200 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95791","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"191606"} | ret=SUCCESS |  
2025-10-14 16:14:23,201 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95789","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"191607"} | ret=SUCCESS |  
2025-10-14 16:14:23,201 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95794","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"191608"} | ret=SUCCESS |  
