2023-05-18 03:37:43,789 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.13 | op=SEND_HEARTBEAT {datanodeUUID=778d6059-a334-4d84-a7e0-c27a5c019c39, term=2, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "2310a200-8b9e-4d44-93a9-7ddf79f4f292" uuid128 { mostSigBits: 2526697514180955460 leastSigBits: -7806570080292769134 } } type: RATIS factor: ONE datanode { uuid: "778d6059-a334-4d84-a7e0-c27a5c019c39" ipAddress: "172.23.0.13" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "778d6059-a334-4d84-a7e0-c27a5c019c39" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 8614647600336096644 leastSigBits: -6349861643806991303 } } cmdId: 1684381031752 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "80a14cb5-d934-41dc-b2c5-85de227caa2b" uuid128 { mostSigBits: -9177970221687488036 leastSigBits: -5564894575438550485 } } type: RATIS factor: THREE datanode { uuid: "b7b3c409-7348-4767-a951-97148288ec3e" ipAddress: "172.23.0.8" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "b7b3c409-7348-4767-a951-97148288ec3e" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -5209604799069665433 leastSigBits: -6246045093841015746 } } datanode { uuid: "43529ebf-b7a6-4f12-8424-99f82fcb4698" ipAddress: "172.23.0.7" hostName: "xcompat_datanode_4.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "43529ebf-b7a6-4f12-8424-99f82fcb4698" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 4851114294888517394 leastSigBits: -8924839270308690280 } } datanode { uuid: "778d6059-a334-4d84-a7e0-c27a5c019c39" ipAddress: "172.23.0.13" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "778d6059-a334-4d84-a7e0-c27a5c019c39" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 8614647600336096644 leastSigBits: -6349861643806991303 } } cmdId: 1684381031753 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 ]} | ret=SUCCESS |  
2023-05-18 03:37:44,201 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.8 | op=SEND_HEARTBEAT {datanodeUUID=b7b3c409-7348-4767-a951-97148288ec3e, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:37:44,280 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.5 | op=SEND_HEARTBEAT {datanodeUUID=375020a9-c396-44e1-b26e-96302662c980, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:37:45,119 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.7 | op=SEND_HEARTBEAT {datanodeUUID=43529ebf-b7a6-4f12-8424-99f82fcb4698, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:37:46,007 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.2 | op=SEND_HEARTBEAT {datanodeUUID=80afeb4a-5cfb-4626-93a4-6f5c88d4d0cc, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:37:46,090 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.7 | op=SEND_HEARTBEAT {datanodeUUID=43529ebf-b7a6-4f12-8424-99f82fcb4698, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:37:46,488 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.13 | op=SEND_HEARTBEAT {datanodeUUID=778d6059-a334-4d84-a7e0-c27a5c019c39, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:37:47,078 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.5 | op=SEND_HEARTBEAT {datanodeUUID=375020a9-c396-44e1-b26e-96302662c980, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:37:47,110 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.8 | op=SEND_HEARTBEAT {datanodeUUID=b7b3c409-7348-4767-a951-97148288ec3e, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:37:47,932 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.5 | op=SEND_HEARTBEAT {datanodeUUID=375020a9-c396-44e1-b26e-96302662c980, term=2, command=[]} | ret=SUCCESS |  
