2023-05-09 17:24:16,747 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=eff8c50e-250d-43f1-b9ed-8319a4b2540c, command=[]} | ret=SUCCESS |  
2023-05-09 17:24:21,390 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=182ea254-3d3c-4090-bc65-cfdef8faac8b, command=[]} | ret=SUCCESS |  
2023-05-09 17:24:21,582 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=875e415e-b434-419a-ae1b-d7a486934fa1, command=[]} | ret=SUCCESS |  
2023-05-09 17:24:21,785 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=182ea254-3d3c-4090-bc65-cfdef8faac8b, command=[]} | ret=SUCCESS |  
2023-05-09 17:24:21,835 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=eff8c50e-250d-43f1-b9ed-8319a4b2540c, command=[]} | ret=SUCCESS |  
2023-05-09 17:24:26,357 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=ALLOCATE_BLOCK {owner=682692ee-3fba-41cc-aa81-1203857e729e, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-05-09 17:24:28,115 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=182ea254-3d3c-4090-bc65-cfdef8faac8b, command=[]} | ret=SUCCESS |  
2023-05-09 17:24:28,345 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=875e415e-b434-419a-ae1b-d7a486934fa1, command=[]} | ret=SUCCESS |  
2023-05-09 17:24:28,370 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=eff8c50e-250d-43f1-b9ed-8319a4b2540c, command=[]} | ret=SUCCESS |  
2023-05-09 17:24:35,293 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=ALLOCATE_BLOCK {owner=682692ee-3fba-41cc-aa81-1203857e729e, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-05-09 17:24:36,976 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=875e415e-b434-419a-ae1b-d7a486934fa1, command=[]} | ret=SUCCESS |  
2023-05-09 17:24:44,103 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=ALLOCATE_BLOCK {owner=682692ee-3fba-41cc-aa81-1203857e729e, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-05-09 17:24:58,118 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=182ea254-3d3c-4090-bc65-cfdef8faac8b, command=[]} | ret=SUCCESS |  
2023-05-09 17:24:58,353 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=eff8c50e-250d-43f1-b9ed-8319a4b2540c, command=[]} | ret=SUCCESS |  
2023-05-09 17:25:06,989 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=875e415e-b434-419a-ae1b-d7a486934fa1, command=[]} | ret=SUCCESS |  
2023-05-09 17:25:10,235 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=ALLOCATE_BLOCK {owner=682692ee-3fba-41cc-aa81-1203857e729e, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-05-09 17:25:15,635 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=ALLOCATE_BLOCK {owner=682692ee-3fba-41cc-aa81-1203857e729e, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-05-09 17:25:28,121 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=182ea254-3d3c-4090-bc65-cfdef8faac8b, command=[]} | ret=SUCCESS |  
2023-05-09 17:25:28,356 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=eff8c50e-250d-43f1-b9ed-8319a4b2540c, command=[]} | ret=SUCCESS |  
2023-05-09 17:25:37,016 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=875e415e-b434-419a-ae1b-d7a486934fa1, command=[]} | ret=SUCCESS |  
2023-05-09 17:25:58,121 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=182ea254-3d3c-4090-bc65-cfdef8faac8b, command=[]} | ret=SUCCESS |  
2023-05-09 17:25:58,351 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=eff8c50e-250d-43f1-b9ed-8319a4b2540c, command=[]} | ret=SUCCESS |  
