2023-08-24 06:29:47,735 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=f2d2b038-4753-4107-9fc5-b4fe63e756b6, command=[]} | ret=SUCCESS |  
2023-08-24 06:29:48,144 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=89caeefb-004d-4b1a-a348-a0d26834b83e, command=[]} | ret=SUCCESS |  
2023-08-24 06:29:58,683 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=4bad2ac6-30dd-4ea1-a053-7bdd433ee10c, command=[]} | ret=SUCCESS |  
2023-08-24 06:30:05,054 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=2a5d10b8-50fe-4456-964d-f56bf67e764b, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-08-24 06:30:12,004 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=2a5d10b8-50fe-4456-964d-f56bf67e764b, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-08-24 06:30:17,729 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=f2d2b038-4753-4107-9fc5-b4fe63e756b6, command=[]} | ret=SUCCESS |  
2023-08-24 06:30:18,140 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=89caeefb-004d-4b1a-a348-a0d26834b83e, command=[]} | ret=SUCCESS |  
2023-08-24 06:30:28,682 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=4bad2ac6-30dd-4ea1-a053-7bdd433ee10c, command=[]} | ret=SUCCESS |  
2023-08-24 06:30:47,747 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=f2d2b038-4753-4107-9fc5-b4fe63e756b6, command=[]} | ret=SUCCESS |  
2023-08-24 06:30:48,143 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=89caeefb-004d-4b1a-a348-a0d26834b83e, command=[]} | ret=SUCCESS |  
2023-08-24 06:30:58,699 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=4bad2ac6-30dd-4ea1-a053-7bdd433ee10c, command=[]} | ret=SUCCESS |  
