2022-07-31 01:31:57,110 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=33f7edea-1d24-4f1b-918a-799c46a4e48b, command=[]} | ret=SUCCESS |  
2022-07-31 01:31:57,125 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=2b78f5e4-1a96-428c-b6d0-dd05be810423, command=[]} | ret=SUCCESS |  
2022-07-31 01:32:06,054 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=b3e7cc5f-95a9-4e99-aa22-9bb19553e4f1, command=[]} | ret=SUCCESS |  
2022-07-31 01:32:12,494 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=ALLOCATE_BLOCK {owner=00f73ee2-ff84-4002-8b87-806d8dc0a418, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-07-31 01:32:18,978 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=ALLOCATE_BLOCK {owner=00f73ee2-ff84-4002-8b87-806d8dc0a418, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-07-31 01:32:27,125 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=33f7edea-1d24-4f1b-918a-799c46a4e48b, command=[]} | ret=SUCCESS |  
2022-07-31 01:32:27,128 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=2b78f5e4-1a96-428c-b6d0-dd05be810423, command=[]} | ret=SUCCESS |  
2022-07-31 01:32:36,047 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=b3e7cc5f-95a9-4e99-aa22-9bb19553e4f1, command=[]} | ret=SUCCESS |  
2022-07-31 01:32:57,115 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=33f7edea-1d24-4f1b-918a-799c46a4e48b, command=[]} | ret=SUCCESS |  
2022-07-31 01:32:57,119 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=2b78f5e4-1a96-428c-b6d0-dd05be810423, command=[]} | ret=SUCCESS |  
2022-07-31 01:33:06,050 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=b3e7cc5f-95a9-4e99-aa22-9bb19553e4f1, command=[]} | ret=SUCCESS |  
