2024-01-17 09:53:02,958 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=ALLOCATE_BLOCK {owner=e170f74f-2eeb-46ee-ab14-739550fc85be, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2024-01-17 09:53:04,272 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=60d7b41c-90af-4114-9a88-15be2952e0c4, command=[]} | ret=SUCCESS |  
2024-01-17 09:53:10,376 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=ALLOCATE_BLOCK {owner=e170f74f-2eeb-46ee-ab14-739550fc85be, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-01-17 09:53:26,952 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=759d29d2-c219-4ff6-af80-c10587f592e7, command=[]} | ret=SUCCESS |  
2024-01-17 09:53:27,058 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=a683f3a3-c2e4-4fcd-82c2-98ebea0d5818, command=[]} | ret=SUCCESS |  
2024-01-17 09:53:27,930 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=ALLOCATE_BLOCK {owner=e170f74f-2eeb-46ee-ab14-739550fc85be, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-01-17 09:53:32,326 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=ALLOCATE_BLOCK {owner=e170f74f-2eeb-46ee-ab14-739550fc85be, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-01-17 09:53:34,277 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=60d7b41c-90af-4114-9a88-15be2952e0c4, command=[]} | ret=SUCCESS |  
2024-01-17 09:53:56,954 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=759d29d2-c219-4ff6-af80-c10587f592e7, command=[]} | ret=SUCCESS |  
2024-01-17 09:53:57,063 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=a683f3a3-c2e4-4fcd-82c2-98ebea0d5818, command=[]} | ret=SUCCESS |  
2024-01-17 09:54:04,272 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=60d7b41c-90af-4114-9a88-15be2952e0c4, command=[]} | ret=SUCCESS |  
