2024-04-06 20:59:22,343 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/56]} | ret=SUCCESS | perf={metaLatencyMs=37, sizeByte=10240, opLatencyMs=340} |  
2024-04-06 20:59:22,376 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/57]} | ret=SUCCESS | perf={metaLatencyMs=49, sizeByte=10240, opLatencyMs=330} |  
2024-04-06 20:59:22,397 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/58]} | ret=SUCCESS | perf={metaLatencyMs=57, sizeByte=10240, opLatencyMs=272} |  
2024-04-06 20:59:22,443 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/59]} | ret=SUCCESS | perf={metaLatencyMs=78, sizeByte=10240, opLatencyMs=317} |  
2024-04-06 20:59:22,499 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/61]} | ret=SUCCESS | perf={metaLatencyMs=40, sizeByte=10240, opLatencyMs=272} |  
2024-04-06 20:59:22,528 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/62]} | ret=SUCCESS | perf={metaLatencyMs=51, sizeByte=10240, opLatencyMs=301} |  
2024-04-06 20:59:22,552 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/60]} | ret=SUCCESS | perf={metaLatencyMs=58, sizeByte=10240, opLatencyMs=327} |  
2024-04-06 20:59:22,602 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/64]} | ret=SUCCESS | perf={metaLatencyMs=70, sizeByte=10240, opLatencyMs=319} |  
2024-04-06 20:59:22,642 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/63]} | ret=SUCCESS | perf={metaLatencyMs=77, sizeByte=10240, opLatencyMs=374} |  
2024-04-06 20:59:22,686 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/65]} | ret=SUCCESS | perf={metaLatencyMs=37, sizeByte=10240, opLatencyMs=404} |  
2024-04-06 20:59:22,741 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/67]} | ret=SUCCESS | perf={metaLatencyMs=34, sizeByte=10240, opLatencyMs=348} |  
2024-04-06 20:59:22,795 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/69]} | ret=SUCCESS | perf={metaLatencyMs=54, sizeByte=10240, opLatencyMs=314} |  
2024-04-06 20:59:22,796 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/66]} | ret=SUCCESS | perf={metaLatencyMs=102, sizeByte=10240, opLatencyMs=424} |  
2024-04-06 20:59:22,806 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/68]} | ret=SUCCESS | perf={metaLatencyMs=56, sizeByte=10240, opLatencyMs=388} |  
2024-04-06 20:59:22,849 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/70]} | ret=SUCCESS | perf={metaLatencyMs=47, sizeByte=10240, opLatencyMs=328} |  
2024-04-06 20:59:22,937 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/71]} | ret=SUCCESS | perf={metaLatencyMs=34, sizeByte=10240, opLatencyMs=372} |  
2024-04-06 20:59:22,978 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/72]} | ret=SUCCESS | perf={metaLatencyMs=32, sizeByte=10240, opLatencyMs=415} |  
2024-04-06 20:59:22,987 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/74]} | ret=SUCCESS | perf={metaLatencyMs=71, sizeByte=10240, opLatencyMs=327} |  
