2023-07-18 19:53:05,273 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=536c968e-5c88-4f08-9d5f-2118f40b5348, command=[]} | ret=SUCCESS |  
2023-07-18 19:53:05,365 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=751ccffe-86f9-40ce-9854-d9719020cdc1, command=[]} | ret=SUCCESS |  
2023-07-18 19:53:05,557 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=483c21d4-7890-4b04-ba7d-a9288fa31ef2, command=[]} | ret=SUCCESS |  
2023-07-18 19:53:12,567 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=ALLOCATE_BLOCK {owner=fb590f51-297c-410c-8cb8-2a59812d59e4, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-07-18 19:53:14,215 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=536c968e-5c88-4f08-9d5f-2118f40b5348, command=[]} | ret=SUCCESS |  
2023-07-18 19:53:20,991 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=ALLOCATE_BLOCK {owner=fb590f51-297c-410c-8cb8-2a59812d59e4, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-07-18 19:53:35,366 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=751ccffe-86f9-40ce-9854-d9719020cdc1, command=[]} | ret=SUCCESS |  
2023-07-18 19:53:35,563 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=483c21d4-7890-4b04-ba7d-a9288fa31ef2, command=[]} | ret=SUCCESS |  
2023-07-18 19:53:42,901 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=ALLOCATE_BLOCK {owner=fb590f51-297c-410c-8cb8-2a59812d59e4, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-07-18 19:53:44,236 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=536c968e-5c88-4f08-9d5f-2118f40b5348, command=[]} | ret=SUCCESS |  
2023-07-18 19:53:48,254 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=ALLOCATE_BLOCK {owner=fb590f51-297c-410c-8cb8-2a59812d59e4, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-07-18 19:54:05,372 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=751ccffe-86f9-40ce-9854-d9719020cdc1, command=[]} | ret=SUCCESS |  
2023-07-18 19:54:05,568 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=483c21d4-7890-4b04-ba7d-a9288fa31ef2, command=[]} | ret=SUCCESS |  
2023-07-18 19:54:14,220 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=536c968e-5c88-4f08-9d5f-2118f40b5348, command=[]} | ret=SUCCESS |  
