2024-01-20 11:46:25,278 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=ddcb039d-53c1-4e4b-b2c2-c689e79f670b, command=[]} | ret=SUCCESS |  
2024-01-20 11:46:25,427 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=adaab943-ebd7-4c78-ab86-9e963f0d0678, command=[]} | ret=SUCCESS |  
2024-01-20 11:46:31,192 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=ALLOCATE_BLOCK {owner=297a5b9d-4454-4ad0-ae8e-ec6149457394, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2024-01-20 11:46:32,506 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=ddcb039d-53c1-4e4b-b2c2-c689e79f670b, command=[]} | ret=SUCCESS |  
2024-01-20 11:46:38,757 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=ALLOCATE_BLOCK {owner=297a5b9d-4454-4ad0-ae8e-ec6149457394, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-01-20 11:46:55,207 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=4ff09c8f-eb98-4ab5-917d-5607ddda2353, command=[]} | ret=SUCCESS |  
2024-01-20 11:46:55,417 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=adaab943-ebd7-4c78-ab86-9e963f0d0678, command=[]} | ret=SUCCESS |  
2024-01-20 11:46:56,316 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=ALLOCATE_BLOCK {owner=297a5b9d-4454-4ad0-ae8e-ec6149457394, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-01-20 11:47:00,506 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=ALLOCATE_BLOCK {owner=297a5b9d-4454-4ad0-ae8e-ec6149457394, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-01-20 11:47:02,509 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=ddcb039d-53c1-4e4b-b2c2-c689e79f670b, command=[]} | ret=SUCCESS |  
2024-01-20 11:47:25,207 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=4ff09c8f-eb98-4ab5-917d-5607ddda2353, command=[]} | ret=SUCCESS |  
2024-01-20 11:47:25,426 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=adaab943-ebd7-4c78-ab86-9e963f0d0678, command=[]} | ret=SUCCESS |  
2024-01-20 11:47:32,508 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=ddcb039d-53c1-4e4b-b2c2-c689e79f670b, command=[]} | ret=SUCCESS |  
