2025-06-14 12:32:37,583 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=COMPLETE_MULTIPART_UPLOAD {volume=s3v, bucket=bucket-tgdkxlhtcm, key=multiUpload.1.gz, dataSize=0, uploadID=01976e6d-7555-7ea0-a918-b5c4b514e009-114681731920232454, multipartList=[partNumber: 1 partName: "96995b58d4cbf6aaa9041b4f00c7f6ae" eTag: "96995b58d4cbf6aaa9041b4f00c7f6ae" , partNumber: 2 partName: "4eda5bcf5ef0cd4066425006dba9ffaa" eTag: "4eda5bcf5ef0cd4066425006dba9ffaa" ], Transaction=43} | ret=SUCCESS |  
2025-06-14 12:32:37,626 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=INITIATE_MULTIPART_UPLOAD {volume=s3v, bucket=bucket-tgdkxlhtcm, key=multiUpload.2.gz, dataSize=0, uploadID=01976e6d-78e9-76d5-8550-2047233cb670-114681731980263433, Transaction=45} | ret=SUCCESS |  
2025-06-14 12:32:37,693 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.9 | op=ALLOCATE_KEY {volume=s3v, bucket=bucket-tgdkxlhtcm, key=multiUpload.2.gz, dataSize=2097153, Transaction=47} | ret=SUCCESS |  
2025-06-14 12:32:37,726 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=ALLOCATE_KEY {volume=s3v, bucket=bucket-tgdkxlhtcm, key=multiUpload.2.gz, dataSize=8388608, Transaction=49} | ret=SUCCESS |  
2025-06-14 12:32:37,731 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.9 | op=ALLOCATE_BLOCK {volume=s3v, bucket=bucket-tgdkxlhtcm, key=multiUpload.2.gz, dataSize=2097153, replicationType=RATIS, replicationFactor=THREE, clientID=114681731984326666, Transaction=50} | ret=SUCCESS |  
2025-06-14 12:32:37,793 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=ALLOCATE_BLOCK {volume=s3v, bucket=bucket-tgdkxlhtcm, key=multiUpload.2.gz, dataSize=8388608, replicationType=RATIS, replicationFactor=THREE, clientID=114681731986423819, Transaction=53} | ret=SUCCESS |  
2025-06-14 12:32:37,942 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.9 | op=COMMIT_MULTIPART_UPLOAD_PARTKEY {volume=s3v, bucket=bucket-tgdkxlhtcm, key=multiUpload.2.gz, dataSize=2097153, ETag=4eda5bcf5ef0cd4066425006dba9ffaa, uploadID=01976e6d-78e9-76d5-8550-2047233cb670-114681731980263433, partNumber=2, partName=/s3v/bucket-tgdkxlhtcm/multiUpload.2.gz-01976e6d-78e9-76d5-8550-2047233cb670-114681731980263433-2, Transaction=55} | ret=SUCCESS |  
2025-06-14 12:32:38,177 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=COMMIT_MULTIPART_UPLOAD_PARTKEY {volume=s3v, bucket=bucket-tgdkxlhtcm, key=multiUpload.2.gz, dataSize=8388608, ETag=96995b58d4cbf6aaa9041b4f00c7f6ae, uploadID=01976e6d-78e9-76d5-8550-2047233cb670-114681731980263433, partNumber=1, partName=/s3v/bucket-tgdkxlhtcm/multiUpload.2.gz-01976e6d-78e9-76d5-8550-2047233cb670-114681731980263433-1, Transaction=57} | ret=SUCCESS |  
2025-06-14 12:32:38,219 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=COMPLETE_MULTIPART_UPLOAD {volume=s3v, bucket=bucket-tgdkxlhtcm, key=multiUpload.2.gz, dataSize=0, uploadID=01976e6d-78e9-76d5-8550-2047233cb670-114681731980263433, multipartList=[partNumber: 1 partName: "96995b58d4cbf6aaa9041b4f00c7f6ae" eTag: "96995b58d4cbf6aaa9041b4f00c7f6ae" , partNumber: 2 partName: "4eda5bcf5ef0cd4066425006dba9ffaa" eTag: "4eda5bcf5ef0cd4066425006dba9ffaa" ], Transaction=59} | ret=SUCCESS |  
2025-06-14 12:32:38,255 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.9 | op=CREATE_BUCKET {volume=s3v, bucket=bucket-fimadmnvdj, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:dlfknslnfslf:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1749904358239, bucketEncryptionKey=null, modificationTime=1749904358239, usedBytes=0, usedNamespace=0, owner=dlfknslnfslf, replicationType=null, replicationConfig=null, quotaInBytes=-1, quotaInNamespace=-1, Transaction=61} | ret=SUCCESS |  
