2023-06-16 11:05:49,893 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=ebe9ee15-dec0-45fa-94ce-9e66869d8bac, command=[]} | ret=SUCCESS |  
2023-06-16 11:05:56,615 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=eb3c8ed9-5aaa-4287-a572-96e6e918a595, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-06-16 11:06:11,216 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=e350f175-6748-48fd-a185-9f3cb7083773, command=[]} | ret=SUCCESS |  
2023-06-16 11:06:11,408 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=SEND_HEARTBEAT {datanodeUUID=ab372fb4-99b9-4104-b269-3a4e2b82a745, command=[]} | ret=SUCCESS |  
2023-06-16 11:06:19,904 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=ebe9ee15-dec0-45fa-94ce-9e66869d8bac, command=[]} | ret=SUCCESS |  
2023-06-16 11:06:23,385 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=eb3c8ed9-5aaa-4287-a572-96e6e918a595, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-06-16 11:06:28,590 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=eb3c8ed9-5aaa-4287-a572-96e6e918a595, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-06-16 11:06:41,221 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=e350f175-6748-48fd-a185-9f3cb7083773, command=[]} | ret=SUCCESS |  
2023-06-16 11:06:41,414 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=SEND_HEARTBEAT {datanodeUUID=ab372fb4-99b9-4104-b269-3a4e2b82a745, command=[]} | ret=SUCCESS |  
2023-06-16 11:06:49,902 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=ebe9ee15-dec0-45fa-94ce-9e66869d8bac, command=[]} | ret=SUCCESS |  
2023-06-16 11:07:11,228 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=e350f175-6748-48fd-a185-9f3cb7083773, command=[]} | ret=SUCCESS |  
2023-06-16 11:07:11,416 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=SEND_HEARTBEAT {datanodeUUID=ab372fb4-99b9-4104-b269-3a4e2b82a745, command=[]} | ret=SUCCESS |  
