2023-07-16 04:53:11,572 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=ddceee06-c999-4888-8c11-9381bedc9794, command=[]} | ret=SUCCESS |  
2023-07-16 04:53:21,837 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=8ce16940-0905-4a9c-a5eb-adaf222452d2, command=[]} | ret=SUCCESS |  
2023-07-16 04:53:29,542 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=ALLOCATE_BLOCK {owner=0c26f981-cd4c-493b-9678-00e09e71a837, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-07-16 04:53:36,487 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=ALLOCATE_BLOCK {owner=0c26f981-cd4c-493b-9678-00e09e71a837, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-07-16 04:53:41,513 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=fb643f47-389c-499f-862f-3e694a4a939e, command=[]} | ret=SUCCESS |  
2023-07-16 04:53:41,583 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=ddceee06-c999-4888-8c11-9381bedc9794, command=[]} | ret=SUCCESS |  
2023-07-16 04:53:51,838 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=8ce16940-0905-4a9c-a5eb-adaf222452d2, command=[]} | ret=SUCCESS |  
2023-07-16 04:54:11,506 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=fb643f47-389c-499f-862f-3e694a4a939e, command=[]} | ret=SUCCESS |  
2023-07-16 04:54:11,569 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=ddceee06-c999-4888-8c11-9381bedc9794, command=[]} | ret=SUCCESS |  
2023-07-16 04:54:21,830 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=8ce16940-0905-4a9c-a5eb-adaf222452d2, command=[]} | ret=SUCCESS |  
