2026-08-18 18:56:30,879 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=GET_S3_SECRET {"Transaction":"1","S3GetSecretUser":"testuser/s3g@EXAMPLE.COM"} | ret=SUCCESS |  
2026-08-18 18:57:14,385 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=COMMIT_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","ETag":"d41d8cd98f00b204e9800998ecf8427e","Transaction":"12"} | ret=SUCCESS |  
2026-08-18 18:57:14,526 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=DELETE_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/","dataSize":"0","replicationConfig":"RATIS/THREE","Transaction":"13"} | ret=SUCCESS |  
2026-08-18 18:57:14,549 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=ALLOCATE_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/testListStatusEmptyDirectory-6f074f3b-019d-4753-836b-58470ef1c02a/","dataSize":"0","replicationType":"NONE","Transaction":"14"} | ret=SUCCESS |  
2026-08-18 18:57:14,867 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=COMMIT_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/testListStatusEmptyDirectory-6f074f3b-019d-4753-836b-58470ef1c02a/","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","ETag":"d41d8cd98f00b204e9800998ecf8427e","Transaction":"15"} | ret=SUCCESS |  
2026-08-18 18:57:15,001 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=DELETE_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/testListStatusEmptyDirectory-6f074f3b-019d-4753-836b-58470ef1c02a/","dataSize":"0","replicationConfig":"RATIS/THREE","Transaction":"16"} | ret=SUCCESS |  
2026-08-18 18:57:15,021 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=ALLOCATE_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/","dataSize":"0","replicationType":"NONE","Transaction":"17"} | ret=SUCCESS |  
2026-08-18 18:57:15,174 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=COMMIT_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","ETag":"d41d8cd98f00b204e9800998ecf8427e","Transaction":"18"} | ret=SUCCESS |  
2026-08-18 18:57:15,197 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=ALLOCATE_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/file-1.txt","dataSize":"0","replicationType":"NONE","Transaction":"19"} | ret=SUCCESS |  
2026-08-18 18:57:15,319 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=COMMIT_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/file-1.txt","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","ETag":"d41d8cd98f00b204e9800998ecf8427e","Transaction":"20"} | ret=SUCCESS |  
2026-08-18 18:57:15,354 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=ALLOCATE_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/file-2.txt","dataSize":"0","replicationType":"NONE","Transaction":"21"} | ret=SUCCESS |  
2026-08-18 18:57:15,473 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=COMMIT_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/file-2.txt","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","ETag":"d41d8cd98f00b204e9800998ecf8427e","Transaction":"22"} | ret=SUCCESS |  
2026-08-18 18:57:15,500 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=ALLOCATE_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/file-1.txt","dataSize":"0","replicationType":"NONE","Transaction":"23"} | ret=SUCCESS |  
2026-08-18 18:57:15,615 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=COMMIT_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/file-1.txt","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","ETag":"d41d8cd98f00b204e9800998ecf8427e","Transaction":"24"} | ret=SUCCESS |  
2026-08-18 18:57:15,645 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=ALLOCATE_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/file-2.txt","dataSize":"0","replicationType":"NONE","Transaction":"25"} | ret=SUCCESS |  
2026-08-18 18:57:16,381 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=COMMIT_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/file-2.txt","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","ETag":"d41d8cd98f00b204e9800998ecf8427e","Transaction":"26"} | ret=SUCCESS |  
2026-08-18 18:57:16,410 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=ALLOCATE_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/subdir/","dataSize":"0","replicationType":"NONE","Transaction":"27"} | ret=SUCCESS |  
2026-08-18 18:57:17,019 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=COMMIT_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/subdir/","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","ETag":"d41d8cd98f00b204e9800998ecf8427e","Transaction":"28"} | ret=SUCCESS |  
2026-08-18 18:57:17,132 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=DELETE_KEYS {"volume":"s3v","bucket":"obs-bucket","deletedKeysList":"{key=test/file-1.txt, dataSize=0, replicationConfig=RATIS/THREE}, {key=test/file-2.txt, dataSize=0, replicationConfig=RATIS/THREE}","unDeletedKeysList":"","deletedKeySourceType":"USER","Transaction":"29"} | ret=SUCCESS |  
2026-08-18 18:57:17,266 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=DELETE_KEYS {"volume":"s3v","bucket":"obs-bucket","deletedKeysList":"{key=test/, dataSize=0, replicationConfig=RATIS/THREE}, {key=test/subdir/, dataSize=0, replicationConfig=RATIS/THREE}","unDeletedKeysList":"","deletedKeySourceType":"USER","Transaction":"30"} | ret=SUCCESS |  
2026-08-18 18:57:17,302 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=ALLOCATE_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/","dataSize":"0","replicationType":"NONE","Transaction":"31"} | ret=SUCCESS |  
2026-08-18 18:57:17,365 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=COMMIT_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","ETag":"d41d8cd98f00b204e9800998ecf8427e","Transaction":"32"} | ret=SUCCESS |  
2026-08-18 18:57:17,393 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=ALLOCATE_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/liststatus","dataSize":"0","replicationType":"NONE","Transaction":"33"} | ret=SUCCESS |  
2026-08-18 18:57:17,559 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=COMMIT_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/liststatus","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","ETag":"d41d8cd98f00b204e9800998ecf8427e","Transaction":"34"} | ret=SUCCESS |  
2026-08-18 18:57:17,592 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=DELETE_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/liststatus","dataSize":"0","replicationConfig":"RATIS/THREE","Transaction":"35"} | ret=SUCCESS |  
2026-08-18 18:57:17,709 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=DELETE_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/","dataSize":"0","replicationConfig":"RATIS/THREE","Transaction":"36"} | ret=SUCCESS |  
2026-08-18 18:57:17,725 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=ALLOCATE_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/","dataSize":"0","replicationType":"NONE","Transaction":"37"} | ret=SUCCESS |  
2026-08-18 18:57:17,804 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=COMMIT_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","ETag":"d41d8cd98f00b204e9800998ecf8427e","Transaction":"38"} | ret=SUCCESS |  
2026-08-18 18:57:17,947 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=DELETE_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/","dataSize":"0","replicationConfig":"RATIS/THREE","Transaction":"39"} | ret=SUCCESS |  
2026-08-18 18:57:17,964 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=ALLOCATE_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/testListFilesEmptyDirectoryRecursive-56e88d64-781f-4349-b888-6c967c0dd95d/","dataSize":"0","replicationType":"NONE","Transaction":"40"} | ret=SUCCESS |  
2026-08-18 18:57:18,250 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=COMMIT_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/testListFilesEmptyDirectoryRecursive-56e88d64-781f-4349-b888-6c967c0dd95d/","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","ETag":"d41d8cd98f00b204e9800998ecf8427e","Transaction":"41"} | ret=SUCCESS |  
2026-08-18 18:57:18,381 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=DELETE_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/testListFilesEmptyDirectoryRecursive-56e88d64-781f-4349-b888-6c967c0dd95d/","dataSize":"0","replicationConfig":"RATIS/THREE","Transaction":"42"} | ret=SUCCESS |  
2026-08-18 18:57:18,395 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=ALLOCATE_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/","dataSize":"0","replicationType":"NONE","Transaction":"43"} | ret=SUCCESS |  
2026-08-18 18:57:18,475 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=COMMIT_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","ETag":"d41d8cd98f00b204e9800998ecf8427e","Transaction":"44"} | ret=SUCCESS |  
2026-08-18 18:57:18,501 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=ALLOCATE_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/listLocatedStatus","dataSize":"0","replicationType":"NONE","Transaction":"45"} | ret=SUCCESS |  
2026-08-18 18:57:18,700 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=COMMIT_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/listLocatedStatus","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","ETag":"d41d8cd98f00b204e9800998ecf8427e","Transaction":"46"} | ret=SUCCESS |  
2026-08-18 18:57:18,739 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=DELETE_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/listLocatedStatus","dataSize":"0","replicationConfig":"RATIS/THREE","Transaction":"47"} | ret=SUCCESS |  
2026-08-18 18:57:18,840 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=DELETE_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/","dataSize":"0","replicationConfig":"RATIS/THREE","Transaction":"48"} | ret=SUCCESS |  
2026-08-18 18:57:18,857 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=ALLOCATE_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/","dataSize":"0","replicationType":"NONE","Transaction":"49"} | ret=SUCCESS |  
2026-08-18 18:57:18,954 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=COMMIT_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","ETag":"d41d8cd98f00b204e9800998ecf8427e","Transaction":"50"} | ret=SUCCESS |  
2026-08-18 18:57:19,056 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=DELETE_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/","dataSize":"0","replicationConfig":"RATIS/THREE","Transaction":"51"} | ret=SUCCESS |  
2026-08-18 18:57:19,081 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=ALLOCATE_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/","dataSize":"0","replicationType":"NONE","Transaction":"52"} | ret=SUCCESS |  
2026-08-18 18:57:19,139 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=COMMIT_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","ETag":"d41d8cd98f00b204e9800998ecf8427e","Transaction":"53"} | ret=SUCCESS |  
2026-08-18 18:57:19,170 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=ALLOCATE_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/file-1.txt","dataSize":"0","replicationType":"NONE","Transaction":"54"} | ret=SUCCESS |  
2026-08-18 18:57:19,287 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=COMMIT_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/file-1.txt","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","ETag":"d41d8cd98f00b204e9800998ecf8427e","Transaction":"55"} | ret=SUCCESS |  
2026-08-18 18:57:19,302 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=ALLOCATE_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/file-2.txt","dataSize":"0","replicationType":"NONE","Transaction":"56"} | ret=SUCCESS |  
2026-08-18 18:57:19,693 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=COMMIT_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/file-2.txt","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","ETag":"d41d8cd98f00b204e9800998ecf8427e","Transaction":"57"} | ret=SUCCESS |  
2026-08-18 18:57:19,709 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=ALLOCATE_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/subdir/","dataSize":"0","replicationType":"NONE","Transaction":"58"} | ret=SUCCESS |  
2026-08-18 18:57:20,031 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=COMMIT_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/subdir/","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","ETag":"d41d8cd98f00b204e9800998ecf8427e","Transaction":"59"} | ret=SUCCESS |  
2026-08-18 18:57:20,081 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=DELETE_KEYS {"volume":"s3v","bucket":"obs-bucket","deletedKeysList":"{key=test/file-1.txt, dataSize=0, replicationConfig=RATIS/THREE}, {key=test/file-2.txt, dataSize=0, replicationConfig=RATIS/THREE}","unDeletedKeysList":"","deletedKeySourceType":"USER","Transaction":"60"} | ret=SUCCESS |  
2026-08-18 18:57:20,228 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=DELETE_KEYS {"volume":"s3v","bucket":"obs-bucket","deletedKeysList":"{key=test/, dataSize=0, replicationConfig=RATIS/THREE}, {key=test/subdir/, dataSize=0, replicationConfig=RATIS/THREE}","unDeletedKeysList":"","deletedKeySourceType":"USER","Transaction":"61"} | ret=SUCCESS |  
2026-08-18 18:57:20,243 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=ALLOCATE_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/","dataSize":"0","replicationType":"NONE","Transaction":"62"} | ret=SUCCESS |  
2026-08-18 18:57:20,445 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=COMMIT_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","ETag":"d41d8cd98f00b204e9800998ecf8427e","Transaction":"63"} | ret=SUCCESS |  
2026-08-18 18:57:20,565 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=DELETE_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/","dataSize":"0","replicationConfig":"RATIS/THREE","Transaction":"64"} | ret=SUCCESS |  
2026-08-18 18:57:20,588 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=ALLOCATE_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/","dataSize":"0","replicationType":"NONE","Transaction":"65"} | ret=SUCCESS |  
2026-08-18 18:57:20,678 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=COMMIT_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","ETag":"d41d8cd98f00b204e9800998ecf8427e","Transaction":"66"} | ret=SUCCESS |  
2026-08-18 18:57:20,851 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=DELETE_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/","dataSize":"0","replicationConfig":"RATIS/THREE","Transaction":"67"} | ret=SUCCESS |  
2026-08-18 18:57:20,869 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=ALLOCATE_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/","dataSize":"0","replicationType":"NONE","Transaction":"68"} | ret=SUCCESS |  
2026-08-18 18:57:20,917 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=COMMIT_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","ETag":"d41d8cd98f00b204e9800998ecf8427e","Transaction":"69"} | ret=SUCCESS |  
2026-08-18 18:57:20,933 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=ALLOCATE_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/listfilesfile","dataSize":"0","replicationType":"NONE","Transaction":"70"} | ret=SUCCESS |  
2026-08-18 18:57:21,119 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=COMMIT_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/listfilesfile","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","ETag":"d41d8cd98f00b204e9800998ecf8427e","Transaction":"71"} | ret=SUCCESS |  
2026-08-18 18:57:21,149 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=DELETE_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/listfilesfile","dataSize":"0","replicationConfig":"RATIS/THREE","Transaction":"72"} | ret=SUCCESS |  
2026-08-18 18:57:21,268 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=DELETE_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/","dataSize":"0","replicationConfig":"RATIS/THREE","Transaction":"73"} | ret=SUCCESS |  
2026-08-18 18:57:21,282 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=ALLOCATE_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/","dataSize":"0","replicationType":"NONE","Transaction":"74"} | ret=SUCCESS |  
2026-08-18 18:57:21,355 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=COMMIT_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","ETag":"d41d8cd98f00b204e9800998ecf8427e","Transaction":"75"} | ret=SUCCESS |  
2026-08-18 18:57:21,371 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=ALLOCATE_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/testComplexDirActions/","dataSize":"0","replicationType":"NONE","Transaction":"76"} | ret=SUCCESS |  
2026-08-18 18:57:21,632 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=COMMIT_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/testComplexDirActions/","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","ETag":"d41d8cd98f00b204e9800998ecf8427e","Transaction":"77"} | ret=SUCCESS |  
2026-08-18 18:57:23,394 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=ALLOCATE_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/testComplexDirActions/file--0-0000.txt","dataSize":"512","replicationType":"NONE","Transaction":"78"} | ret=SUCCESS |  
2026-08-18 18:57:23,460 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=COMMIT_KEY {"volume":"s3v","bucket":"obs-bucket","key":"test/testComplexDirActions/file--0-0000.txt","dataSize":"512","replicationType":"RATIS","replicationFactor":"THREE","ETag":"3e6dfe0445947dfc6e8c0781c36f769a","Transaction":"79"} | ret=SUCCESS |  
