	at org.apache.hadoop.ozone.s3.exception.S3ErrorTable.newError(S3ErrorTable.java:156)
	at org.apache.hadoop.ozone.s3.endpoint.EndpointBase.getBucket(EndpointBase.java:147) 
2023-11-22 02:06:26,319 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=LIST_S3_BUCKETS {} | ret=SUCCESS |  
2023-11-22 02:06:33,487 | ERROR | S3GAudit | user=null | ip=null | op=AUTH(GET /) {} | ret=FAILURE | org.apache.hadoop.ozone.s3.signature.MalformedResourceException: AWS access id is empty. credential: /20231122/us-west-1/s3/aws4_request
	at org.apache.hadoop.ozone.s3.signature.AuthorizationV4HeaderParser.parseCredentials(AuthorizationV4HeaderParser.java:170)
	at org.apache.hadoop.ozone.s3.signature.AuthorizationV4HeaderParser.parseSignature(AuthorizationV4HeaderParser.java:91) 
2023-11-22 02:06:39,110 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-04661151211]} | ret=SUCCESS |  
2023-11-22 02:06:39,124 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-04661151214]} | ret=SUCCESS |  
2023-11-22 02:06:39,125 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-04661151217]} | ret=SUCCESS |  
2023-11-22 02:06:39,128 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-04661151219]} | ret=SUCCESS |  
2023-11-22 02:06:39,128 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-04661151212]} | ret=SUCCESS |  
2023-11-22 02:06:39,131 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-04661151213]} | ret=SUCCESS |  
2023-11-22 02:06:39,133 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-04661151216]} | ret=SUCCESS |  
2023-11-22 02:06:39,131 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-04661151215]} | ret=SUCCESS |  
2023-11-22 02:06:39,136 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-04661151210]} | ret=SUCCESS |  
2023-11-22 02:06:39,165 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-04661151218]} | ret=SUCCESS |  
2023-11-22 02:06:39,193 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512110]} | ret=SUCCESS |  
2023-11-22 02:06:39,194 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512115]} | ret=SUCCESS |  
2023-11-22 02:06:39,194 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512111]} | ret=SUCCESS |  
2023-11-22 02:06:39,242 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512113]} | ret=SUCCESS |  
2023-11-22 02:06:39,245 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512114]} | ret=SUCCESS |  
2023-11-22 02:06:39,246 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512121]} | ret=SUCCESS |  
2023-11-22 02:06:39,247 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512120]} | ret=SUCCESS |  
2023-11-22 02:06:39,255 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512116]} | ret=SUCCESS |  
2023-11-22 02:06:39,256 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512112]} | ret=SUCCESS |  
2023-11-22 02:06:39,258 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512117]} | ret=SUCCESS |  
2023-11-22 02:06:39,268 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[s3bg-bucket-ozone-test-046611512118]} | ret=SUCCESS |  
