	at org.apache.hadoop.ozone.om.protocolPB.OzoneManagerProtocolClientSideTranslatorPB.createBucket(OzoneManagerProtocolClientSideTranslatorPB.java:553) 
2023-09-07 18:26:00,190 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-2041524395]} | ret=SUCCESS |  
2023-09-07 18:26:05,452 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-1754697457]} | ret=SUCCESS |  
2023-09-07 18:26:06,035 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=DELETE_BUCKET {bucket=[bucket-ozone-test-1754697457]} | ret=SUCCESS |  
2023-09-07 18:26:06,613 | ERROR | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=DELETE_BUCKET {bucket=[nosuchbucket-ozone-test-6931185680]} | ret=FAILURE | BUCKET_NOT_FOUND org.apache.hadoop.ozone.om.exceptions.OMException: Bucket not exists
	at org.apache.hadoop.ozone.om.protocolPB.OzoneManagerProtocolClientSideTranslatorPB.handleError(OzoneManagerProtocolClientSideTranslatorPB.java:729)
	at org.apache.hadoop.ozone.om.protocolPB.OzoneManagerProtocolClientSideTranslatorPB.deleteBucket(OzoneManagerProtocolClientSideTranslatorPB.java:966) 
2023-09-07 18:26:07,198 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=HEAD_BUCKET {bucket=[erasure]} | ret=SUCCESS |  
2023-09-07 18:26:07,756 | ERROR | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=HEAD_BUCKET {bucket=[ozonenosuchbucketqqweqwe-ozone-test-3132580066]} | ret=FAILURE | org.apache.hadoop.ozone.s3.exception.OS3Exception
	at org.apache.hadoop.ozone.s3.exception.S3ErrorTable.newError(S3ErrorTable.java:149)
	at org.apache.hadoop.ozone.s3.endpoint.EndpointBase.getBucket(EndpointBase.java:134) 
