2023-07-23 03:13:41,228 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=b6d5f5cd-a7bf-44ab-ad35-5e39827138b8, command=[]} | ret=SUCCESS |  
2023-07-23 03:13:48,311 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=ef207c67-fa71-42e2-809a-81d91a9948a1, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-07-23 03:14:00,128 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=df292ed5-b618-4a04-b9db-d40645a1e2f5, command=[]} | ret=SUCCESS |  
2023-07-23 03:14:00,255 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=64754e3a-7672-4b94-aeb5-114d64ff7fb1, command=[]} | ret=SUCCESS |  
2023-07-23 03:14:11,033 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=ef207c67-fa71-42e2-809a-81d91a9948a1, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-07-23 03:14:11,216 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=b6d5f5cd-a7bf-44ab-ad35-5e39827138b8, command=[]} | ret=SUCCESS |  
2023-07-23 03:14:16,587 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=ef207c67-fa71-42e2-809a-81d91a9948a1, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-07-23 03:14:30,119 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=df292ed5-b618-4a04-b9db-d40645a1e2f5, command=[]} | ret=SUCCESS |  
2023-07-23 03:14:30,266 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=64754e3a-7672-4b94-aeb5-114d64ff7fb1, command=[]} | ret=SUCCESS |  
2023-07-23 03:14:41,218 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=b6d5f5cd-a7bf-44ab-ad35-5e39827138b8, command=[]} | ret=SUCCESS |  
