2026-02-26 14:22:31,934 | INFO  | OMAudit | user=hadoop | ip=172.18.0.14 | op=COMMIT_KEY {"volume":"volume1","bucket":"bucket1","key":"user/hadoop/.staging/job_1772115730784_0001/job.xml","dataSize":"260066","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"31"} | ret=SUCCESS |  
2026-02-26 14:22:35,975 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=CREATE_VOLUME {"admin":"hadoop","owner":"hadoop","volume":"user","creationTime":"1772115755939","modificationTime":"1772115755939","quotaInBytes":"-1","quotaInNamespace":"-1","usedNamespace":"0","objectID":"-9223372036854767616","updateID":"32","Transaction":"32"} | ret=SUCCESS |  
2026-02-26 14:22:35,989 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=CREATE_BUCKET {"volume":"user","bucket":"hadoop","bucketLayout":"FILE_SYSTEM_OPTIMIZED","gdprEnabled":null,"acls":"[user:hadoop:a[ACCESS], group:hadoop:rl[ACCESS]]","isVersionEnabled":"false","storageType":"DISK","creationTime":"1772115755961","bucketEncryptionKey":null,"modificationTime":"1772115755961","usedBytes":"0","usedNamespace":"0","snapshotUsedBytes":"0","snapshotUsedNamespace":"0","owner":"hadoop","replicationType":null,"replicationConfig":null,"quotaInBytes":"-1","quotaInNamespace":"-1","Transaction":"33"} | ret=SUCCESS |  
2026-02-26 14:22:36,029 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=CREATE_DIRECTORY {"volume":"user","bucket":"hadoop","key":".staging/job_1772115730784_0001","dataSize":"0","Transaction":"34"} | ret=SUCCESS |  
2026-02-26 14:22:36,045 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=CREATE_BUCKET {"volume":"user","bucket":"history","bucketLayout":"FILE_SYSTEM_OPTIMIZED","gdprEnabled":null,"acls":"[user:hadoop:a[ACCESS], group:hadoop:rl[ACCESS]]","isVersionEnabled":"false","storageType":"DISK","creationTime":"1772115756023","bucketEncryptionKey":null,"modificationTime":"1772115756023","usedBytes":"0","usedNamespace":"0","snapshotUsedBytes":"0","snapshotUsedNamespace":"0","owner":"hadoop","replicationType":null,"replicationConfig":null,"quotaInBytes":"-1","quotaInNamespace":"-1","Transaction":"35"} | ret=SUCCESS |  
2026-02-26 14:22:36,077 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=CREATE_DIRECTORY {"volume":"user","bucket":"history","key":"done_intermediate","dataSize":"0","Transaction":"36"} | ret=SUCCESS |  
2026-02-26 14:22:38,583 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=CREATE_DIRECTORY {"volume":"user","bucket":"history","key":"done_intermediate/hadoop","dataSize":"0","Transaction":"37"} | ret=SUCCESS |  
2026-02-26 14:22:38,716 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=CREATE_DIRECTORY {"volume":"volume1","bucket":"bucket1","key":"user/hadoop/QuasiMonteCarlo_1772115745335_71789220/out/_temporary/1","dataSize":"0","Transaction":"38"} | ret=SUCCESS |  
2026-02-26 14:22:38,983 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=CREATE_FILE {"volume":"user","bucket":"hadoop","key":".staging/job_1772115730784_0001/job_1772115730784_0001_1.jhist","dataSize":"268435456","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"39"} | ret=SUCCESS |  
2026-02-26 14:22:39,359 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=CREATE_FILE {"volume":"user","bucket":"hadoop","key":".staging/job_1772115730784_0001/job_1772115730784_0001_1_conf.xml","dataSize":"268435456","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"40"} | ret=SUCCESS |  
