2023-03-16 15:08:10,226 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=COMPLETE_MULTIPART_UPLOAD {bucket=[bucket-ozone-test-3460883974], path=[ldihktslvg], uploadId=[4666fe87-bc5a-446d-a8cc-701349ce2686-110033586600017939]} | ret=SUCCESS |  
2023-03-16 15:08:15,308 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-1519900793]} | ret=SUCCESS |  
2023-03-16 15:08:16,456 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-4398200146]} | ret=SUCCESS |  
2023-03-16 15:08:17,536 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-1045828496]} | ret=SUCCESS |  
2023-03-16 15:08:18,564 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-1045828496]} | ret=SUCCESS |  
2023-03-16 15:08:19,570 | ERROR | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[invalid_bucket_ozone-test-8477733750]} | ret=FAILURE | INVALID_BUCKET_NAME org.apache.hadoop.ozone.om.exceptions.OMException: Bucket or Volume name has an unsupported character : _
	at org.apache.hadoop.ozone.client.rpc.RpcClient.verifyBucketName(RpcClient.java:722)
	at org.apache.hadoop.ozone.client.rpc.RpcClient.createBucket(RpcClient.java:623) 
2023-03-16 15:08:21,111 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-4976215547]} | ret=SUCCESS |  
2023-03-16 15:08:31,479 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-8603145660]} | ret=SUCCESS |  
2023-03-16 15:08:32,604 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-6331736343]} | ret=SUCCESS |  
2023-03-16 15:08:33,558 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=DELETE_BUCKET {bucket=[bucket-ozone-test-6331736343]} | ret=SUCCESS |  
2023-03-16 15:08:34,725 | ERROR | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=DELETE_BUCKET {bucket=[nosuchbucket-ozone-test-2551226673]} | ret=FAILURE | BUCKET_NOT_FOUND org.apache.hadoop.ozone.om.exceptions.OMException: Bucket not exists
	at org.apache.hadoop.ozone.om.protocolPB.OzoneManagerProtocolClientSideTranslatorPB.handleError(OzoneManagerProtocolClientSideTranslatorPB.java:709)
	at org.apache.hadoop.ozone.om.protocolPB.OzoneManagerProtocolClientSideTranslatorPB.deleteBucket(OzoneManagerProtocolClientSideTranslatorPB.java:946) 
2023-03-16 15:08:39,326 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-1370298478]} | ret=SUCCESS |  
2023-03-16 15:08:40,380 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=HEAD_BUCKET {bucket=[bucket-ozone-test-1370298478]} | ret=SUCCESS |  
2023-03-16 15:08:41,543 | ERROR | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=HEAD_BUCKET {bucket=[ozonenosuchbucketqqweqwe-ozone-test-8877155277]} | ret=FAILURE | org.apache.hadoop.ozone.s3.exception.OS3Exception
	at org.apache.hadoop.ozone.s3.exception.S3ErrorTable.newError(S3ErrorTable.java:142)
	at org.apache.hadoop.ozone.s3.endpoint.EndpointBase.getBucket(EndpointBase.java:133) 
2023-03-16 15:08:46,224 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-6529211338]} | ret=SUCCESS |  
2023-03-16 15:08:47,288 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=LIST_S3_BUCKETS {} | ret=SUCCESS |  
2023-03-16 15:08:49,160 | ERROR | S3GAudit | user=null | ip=172.18.0.13 | op=AUTH(GET /) {} | ret=FAILURE | org.apache.hadoop.ozone.s3.signature.MalformedResourceException: AWS access id shouldn't be empty. credential: /20230316/us-west-1/s3/aws4_request
	at org.apache.hadoop.ozone.s3.signature.AuthorizationV4HeaderParser.parseCredentials(AuthorizationV4HeaderParser.java:170)
	at org.apache.hadoop.ozone.s3.signature.AuthorizationV4HeaderParser.parseSignature(AuthorizationV4HeaderParser.java:90) 
2023-03-16 15:08:59,759 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg0]} | ret=SUCCESS |  
2023-03-16 15:08:59,804 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg8]} | ret=SUCCESS |  
2023-03-16 15:08:59,817 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg2]} | ret=SUCCESS |  
2023-03-16 15:08:59,824 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg9]} | ret=SUCCESS |  
2023-03-16 15:08:59,863 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg6]} | ret=SUCCESS |  
2023-03-16 15:08:59,879 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg1]} | ret=SUCCESS |  
2023-03-16 15:08:59,911 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg4]} | ret=SUCCESS |  
2023-03-16 15:09:00,002 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg3]} | ret=SUCCESS |  
2023-03-16 15:09:00,018 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg7]} | ret=SUCCESS |  
2023-03-16 15:09:00,046 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg5]} | ret=SUCCESS |  
2023-03-16 15:09:00,145 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg11]} | ret=SUCCESS |  
2023-03-16 15:09:00,145 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg14]} | ret=SUCCESS |  
2023-03-16 15:09:00,255 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg16]} | ret=SUCCESS |  
2023-03-16 15:09:00,298 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg15]} | ret=SUCCESS |  
2023-03-16 15:09:00,317 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg20]} | ret=SUCCESS |  
