2023-12-26 10:37:14,515 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=0207b3c5-692c-4345-a834-5f4bd68f04bc, command=[]} | ret=SUCCESS |  
2023-12-26 10:37:26,160 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=0207b3c5-692c-4345-a834-5f4bd68f04bc, command=[]} | ret=SUCCESS |  
2023-12-26 10:37:32,145 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=ALLOCATE_BLOCK {owner=f48b34b0-630e-49f1-a2a6-8b6312386743, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-12-26 10:37:36,622 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=3fa8c443-17b3-48c9-8372-7ced0b55faec, command=[]} | ret=SUCCESS |  
2023-12-26 10:37:36,674 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=ac17fa6b-9bea-4a03-a31e-09aa4c9619b4, command=[]} | ret=SUCCESS |  
2023-12-26 10:37:49,359 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=ALLOCATE_BLOCK {owner=f48b34b0-630e-49f1-a2a6-8b6312386743, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-12-26 10:37:53,641 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=ALLOCATE_BLOCK {owner=f48b34b0-630e-49f1-a2a6-8b6312386743, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-12-26 10:37:56,158 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=0207b3c5-692c-4345-a834-5f4bd68f04bc, command=[]} | ret=SUCCESS |  
2023-12-26 10:38:06,609 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=3fa8c443-17b3-48c9-8372-7ced0b55faec, command=[]} | ret=SUCCESS |  
2023-12-26 10:38:06,664 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=ac17fa6b-9bea-4a03-a31e-09aa4c9619b4, command=[]} | ret=SUCCESS |  
