2023-08-31 10:51:27,917 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=2804ec07-384c-434c-8f44-2197998bcd4c, command=[]} | ret=SUCCESS |  
2023-08-31 10:51:36,587 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=ALLOCATE_BLOCK {owner=b1dd40d6-5166-4c87-b46e-40262069acf9, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-08-31 10:51:47,655 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=SEND_HEARTBEAT {datanodeUUID=ca03fec9-e072-4143-9261-148f9bd4524e, command=[]} | ret=SUCCESS |  
2023-08-31 10:51:47,845 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=f3ddb2bd-1f6e-4fd4-ab79-8bc8d5f7b167, command=[]} | ret=SUCCESS |  
2023-08-31 10:51:57,939 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=2804ec07-384c-434c-8f44-2197998bcd4c, command=[]} | ret=SUCCESS |  
2023-08-31 10:52:03,085 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=ALLOCATE_BLOCK {owner=b1dd40d6-5166-4c87-b46e-40262069acf9, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-08-31 10:52:09,617 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=ALLOCATE_BLOCK {owner=b1dd40d6-5166-4c87-b46e-40262069acf9, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-08-31 10:52:17,661 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=SEND_HEARTBEAT {datanodeUUID=ca03fec9-e072-4143-9261-148f9bd4524e, command=[]} | ret=SUCCESS |  
2023-08-31 10:52:17,845 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=f3ddb2bd-1f6e-4fd4-ab79-8bc8d5f7b167, command=[]} | ret=SUCCESS |  
2023-08-31 10:52:27,925 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=2804ec07-384c-434c-8f44-2197998bcd4c, command=[]} | ret=SUCCESS |  
2023-08-31 10:52:47,662 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=SEND_HEARTBEAT {datanodeUUID=ca03fec9-e072-4143-9261-148f9bd4524e, command=[]} | ret=SUCCESS |  
2023-08-31 10:52:47,855 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=f3ddb2bd-1f6e-4fd4-ab79-8bc8d5f7b167, command=[]} | ret=SUCCESS |  
2023-08-31 10:52:57,937 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=2804ec07-384c-434c-8f44-2197998bcd4c, command=[]} | ret=SUCCESS |  
