2023-06-30 10:24:21,009 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=8a812bbc-98e3-4715-97de-06c864241bf3, command=[]} | ret=SUCCESS |  
2023-06-30 10:24:27,829 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=7a7bf7a7-4d00-49a0-9c72-01be86437864, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-06-30 10:24:42,020 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=f07392d7-ab98-42eb-9cf0-8171dd2a74d9, command=[]} | ret=SUCCESS |  
2023-06-30 10:24:42,436 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=543fcfa0-c1eb-4d0c-8002-86ebb7aa5717, command=[]} | ret=SUCCESS |  
2023-06-30 10:24:50,995 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=8a812bbc-98e3-4715-97de-06c864241bf3, command=[]} | ret=SUCCESS |  
2023-06-30 10:24:53,396 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=7a7bf7a7-4d00-49a0-9c72-01be86437864, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-06-30 10:24:58,571 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=7a7bf7a7-4d00-49a0-9c72-01be86437864, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-06-30 10:25:12,006 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=f07392d7-ab98-42eb-9cf0-8171dd2a74d9, command=[]} | ret=SUCCESS |  
2023-06-30 10:25:12,461 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=543fcfa0-c1eb-4d0c-8002-86ebb7aa5717, command=[]} | ret=SUCCESS |  
2023-06-30 10:25:20,996 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=8a812bbc-98e3-4715-97de-06c864241bf3, command=[]} | ret=SUCCESS |  
2023-06-30 10:25:42,024 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=f07392d7-ab98-42eb-9cf0-8171dd2a74d9, command=[]} | ret=SUCCESS |  
2023-06-30 10:25:42,432 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=543fcfa0-c1eb-4d0c-8002-86ebb7aa5717, command=[]} | ret=SUCCESS |  
