2023-10-04 16:22:24,850 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=acd9f863-ca39-4b36-9715-b7970de6a4de, command=[]} | ret=SUCCESS |  
2023-10-04 16:22:24,905 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=28d9c559-4636-4a56-a0ab-0b8a4d51194a, command=[]} | ret=SUCCESS |  
2023-10-04 16:22:36,531 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=34548bfb-ff1b-45a9-acc7-e51118138957, command=[]} | ret=SUCCESS |  
2023-10-04 16:22:45,169 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=ALLOCATE_BLOCK {owner=21108907-733c-42f7-ae95-c5d9f133a5d5, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-10-04 16:22:52,289 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=ALLOCATE_BLOCK {owner=21108907-733c-42f7-ae95-c5d9f133a5d5, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-10-04 16:22:54,848 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=acd9f863-ca39-4b36-9715-b7970de6a4de, command=[]} | ret=SUCCESS |  
2023-10-04 16:22:54,898 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=28d9c559-4636-4a56-a0ab-0b8a4d51194a, command=[]} | ret=SUCCESS |  
2023-10-04 16:23:06,536 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=34548bfb-ff1b-45a9-acc7-e51118138957, command=[]} | ret=SUCCESS |  
2023-10-04 16:23:24,853 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=acd9f863-ca39-4b36-9715-b7970de6a4de, command=[]} | ret=SUCCESS |  
2023-10-04 16:23:24,901 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=28d9c559-4636-4a56-a0ab-0b8a4d51194a, command=[]} | ret=SUCCESS |  
2023-10-04 16:23:36,530 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=34548bfb-ff1b-45a9-acc7-e51118138957, command=[]} | ret=SUCCESS |  
