2022-06-13 01:29:39,971 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=556a1575-a699-46ed-9d52-898a55345b48, command=[]} | ret=SUCCESS |  
2022-06-13 01:29:46,643 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=ALLOCATE_BLOCK {owner=e28ffa40-b975-4978-9135-166262173d03, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-06-13 01:30:01,738 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=b3a125d3-7540-47ac-b1bf-125509a9d8cb, command=[]} | ret=SUCCESS |  
2022-06-13 01:30:01,780 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=9284c82a-42cb-4ae3-9800-a0afe93f0746, command=[]} | ret=SUCCESS |  
2022-06-13 01:30:09,982 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=556a1575-a699-46ed-9d52-898a55345b48, command=[]} | ret=SUCCESS |  
2022-06-13 01:30:12,573 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=ALLOCATE_BLOCK {owner=e28ffa40-b975-4978-9135-166262173d03, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-06-13 01:30:17,858 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=ALLOCATE_BLOCK {owner=e28ffa40-b975-4978-9135-166262173d03, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-06-13 01:30:31,727 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=b3a125d3-7540-47ac-b1bf-125509a9d8cb, command=[]} | ret=SUCCESS |  
2022-06-13 01:30:31,775 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=9284c82a-42cb-4ae3-9800-a0afe93f0746, command=[]} | ret=SUCCESS |  
2022-06-13 01:30:39,982 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=556a1575-a699-46ed-9d52-898a55345b48, command=[]} | ret=SUCCESS |  
2022-06-13 01:31:01,733 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=b3a125d3-7540-47ac-b1bf-125509a9d8cb, command=[]} | ret=SUCCESS |  
2022-06-13 01:31:01,768 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=9284c82a-42cb-4ae3-9800-a0afe93f0746, command=[]} | ret=SUCCESS |  
