2023-08-24 06:09:38,962 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg2]} | ret=SUCCESS |  
2023-08-24 06:09:38,973 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg4]} | ret=SUCCESS |  
2023-08-24 06:09:38,981 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg6]} | ret=SUCCESS |  
2023-08-24 06:09:39,026 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg0]} | ret=SUCCESS |  
2023-08-24 06:09:39,077 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg3]} | ret=SUCCESS |  
2023-08-24 06:09:39,091 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg5]} | ret=SUCCESS |  
2023-08-24 06:09:39,094 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg8]} | ret=SUCCESS |  
2023-08-24 06:09:39,143 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg7]} | ret=SUCCESS |  
2023-08-24 06:09:39,152 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg9]} | ret=SUCCESS |  
2023-08-24 06:09:39,154 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg1]} | ret=SUCCESS |  
2023-08-24 06:09:39,231 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg13]} | ret=SUCCESS |  
2023-08-24 06:09:39,248 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg10]} | ret=SUCCESS |  
2023-08-24 06:09:39,257 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg12]} | ret=SUCCESS |  
2023-08-24 06:09:39,255 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg14]} | ret=SUCCESS |  
2023-08-24 06:09:39,259 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg11]} | ret=SUCCESS |  
2023-08-24 06:09:39,282 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg17]} | ret=SUCCESS |  
2023-08-24 06:09:39,292 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg15]} | ret=SUCCESS |  
2023-08-24 06:09:39,304 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg16]} | ret=SUCCESS |  
2023-08-24 06:09:39,320 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg19]} | ret=SUCCESS |  
2023-08-24 06:09:39,358 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg18]} | ret=SUCCESS |  
2023-08-24 06:09:39,386 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg20]} | ret=SUCCESS |  
2023-08-24 06:09:39,412 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg21]} | ret=SUCCESS |  
2023-08-24 06:09:39,418 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg24]} | ret=SUCCESS |  
2023-08-24 06:09:39,443 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg23]} | ret=SUCCESS |  
2023-08-24 06:09:39,464 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg25]} | ret=SUCCESS |  
2023-08-24 06:09:39,473 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg26]} | ret=SUCCESS |  
2023-08-24 06:09:39,474 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg22]} | ret=SUCCESS |  
2023-08-24 06:09:39,490 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg27]} | ret=SUCCESS |  
2023-08-24 06:09:39,512 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg28]} | ret=SUCCESS |  
2023-08-24 06:09:39,535 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg29]} | ret=SUCCESS |  
2023-08-24 06:09:39,567 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg31]} | ret=SUCCESS |  
2023-08-24 06:09:39,571 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg30]} | ret=SUCCESS |  
2023-08-24 06:09:39,590 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg33]} | ret=SUCCESS |  
2023-08-24 06:09:39,599 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg35]} | ret=SUCCESS |  
2023-08-24 06:09:39,613 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg37]} | ret=SUCCESS |  
2023-08-24 06:09:39,627 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg34]} | ret=SUCCESS |  
2023-08-24 06:09:39,630 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg36]} | ret=SUCCESS |  
2023-08-24 06:09:39,631 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg32]} | ret=SUCCESS |  
2023-08-24 06:09:39,702 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg38]} | ret=SUCCESS |  
2023-08-24 06:09:39,719 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg40]} | ret=SUCCESS |  
2023-08-24 06:09:39,722 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg41]} | ret=SUCCESS |  
2023-08-24 06:09:39,750 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg39]} | ret=SUCCESS |  
2023-08-24 06:09:39,759 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg42]} | ret=SUCCESS |  
2023-08-24 06:09:39,761 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg43]} | ret=SUCCESS |  
2023-08-24 06:09:39,776 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg44]} | ret=SUCCESS |  
2023-08-24 06:09:39,797 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg48]} | ret=SUCCESS |  
2023-08-24 06:09:39,832 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg45]} | ret=SUCCESS |  
2023-08-24 06:09:39,833 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg46]} | ret=SUCCESS |  
2023-08-24 06:09:39,835 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg49]} | ret=SUCCESS |  
2023-08-24 06:09:39,840 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg50]} | ret=SUCCESS |  
2023-08-24 06:09:39,840 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg53]} | ret=SUCCESS |  
2023-08-24 06:09:39,848 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg47]} | ret=SUCCESS |  
2023-08-24 06:09:39,893 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg55]} | ret=SUCCESS |  
2023-08-24 06:09:39,902 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg54]} | ret=SUCCESS |  
2023-08-24 06:09:39,904 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg51]} | ret=SUCCESS |  
2023-08-24 06:09:39,906 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg52]} | ret=SUCCESS |  
2023-08-24 06:09:39,926 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg57]} | ret=SUCCESS |  
2023-08-24 06:09:39,934 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg59]} | ret=SUCCESS |  
2023-08-24 06:09:39,970 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg60]} | ret=SUCCESS |  
2023-08-24 06:09:39,970 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg56]} | ret=SUCCESS |  
2023-08-24 06:09:39,972 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg58]} | ret=SUCCESS |  
2023-08-24 06:09:39,970 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg61]} | ret=SUCCESS |  
2023-08-24 06:09:40,024 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg64]} | ret=SUCCESS |  
2023-08-24 06:09:40,026 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg63]} | ret=SUCCESS |  
2023-08-24 06:09:40,034 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg62]} | ret=SUCCESS |  
2023-08-24 06:09:40,041 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg65]} | ret=SUCCESS |  
2023-08-24 06:09:40,083 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg68]} | ret=SUCCESS |  
2023-08-24 06:09:40,084 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg70]} | ret=SUCCESS |  
2023-08-24 06:09:40,098 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg66]} | ret=SUCCESS |  
2023-08-24 06:09:40,100 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg67]} | ret=SUCCESS |  
2023-08-24 06:09:40,131 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg69]} | ret=SUCCESS |  
2023-08-24 06:09:40,146 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg72]} | ret=SUCCESS |  
2023-08-24 06:09:40,149 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg75]} | ret=SUCCESS |  
