2023-07-11 09:09:21,699 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=32b5abe0-81ee-45f3-a192-953e4cd84451, command=[]} | ret=SUCCESS |  
2023-07-11 09:09:28,942 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=ALLOCATE_BLOCK {owner=1a716639-ee7b-4b57-9cf0-ac483cd37db9, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-07-11 09:09:42,328 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=eefb67b1-4863-463b-bf6a-52f3e2e685dc, command=[]} | ret=SUCCESS |  
2023-07-11 09:09:42,390 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=92c5c289-6458-4c95-8cf9-fcb45e6e1e0a, command=[]} | ret=SUCCESS |  
2023-07-11 09:09:51,709 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=32b5abe0-81ee-45f3-a192-953e4cd84451, command=[]} | ret=SUCCESS |  
2023-07-11 09:09:52,113 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=ALLOCATE_BLOCK {owner=1a716639-ee7b-4b57-9cf0-ac483cd37db9, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-07-11 09:09:57,544 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=ALLOCATE_BLOCK {owner=1a716639-ee7b-4b57-9cf0-ac483cd37db9, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-07-11 09:10:12,328 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=eefb67b1-4863-463b-bf6a-52f3e2e685dc, command=[]} | ret=SUCCESS |  
2023-07-11 09:10:12,393 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=92c5c289-6458-4c95-8cf9-fcb45e6e1e0a, command=[]} | ret=SUCCESS |  
2023-07-11 09:10:21,705 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=32b5abe0-81ee-45f3-a192-953e4cd84451, command=[]} | ret=SUCCESS |  
